"","open","high","low","close","volume","adjusted"
"2018-02-23",97.010002,97.720001,96.370003,96.949997,1252500,96.949997
"2018-02-26",97.080002,98.5,96.949997,98,881200,98
"2018-02-27",98.139999,99.449997,97.790001,98.190002,1492900,98.190002
"2018-02-28",98.730003,99.18,98.160004,98.260002,1309100,98.260002
"2018-03-01",98.199997,99.110001,97.040001,97.800003,1219600,97.800003
"2018-03-02",97.339996,99.25,97.339996,98.870003,973700,98.870003
"2018-03-05",98.510002,99.5,98.510002,99.449997,1210400,99.449997
"2018-03-06",99.449997,99.620003,98.669998,99.370003,1009400,99.370003
"2018-03-07",98.400002,99.879997,98.080002,99.879997,1009700,99.879997
"2018-03-08",100,100.349998,98.93,99.650002,951200,99.650002
"2018-03-09",99.809998,100.360001,99.300003,100.360001,647900,100.360001
"2018-03-12",100.519997,101.82,100.519997,101,818400,101
"2018-03-13",101.339996,102.199997,100.849998,101.800003,1246900,101.800003
"2018-03-14",101.830002,103,101.489998,101.68,994800,101.68
"2018-03-15",101.940002,102.68,100.489998,100.940002,1218500,100.940002
"2018-03-16",101.150002,101.800003,100.029999,101.019997,2293200,101.019997
"2018-03-19",100.93,101.410004,99.709999,100.07,1146600,100.07
"2018-03-20",100.269997,100.940002,99.849998,100.330002,777600,100.330002
"2018-03-21",99.32,99.370003,97.360001,98.470001,1492500,98.470001
"2018-03-22",98.279999,99.309998,97.010002,97.050003,996800,97.050003
"2018-03-23",97.300003,98.550003,95.919998,96.059998,1418200,96.059998
"2018-03-26",96.910004,98.150002,96.300003,98.019997,1085300,98.019997
"2018-03-27",98.080002,98.82,97.339996,97.790001,1032500,97.790001
"2018-03-28",98.050003,99.440002,98.050003,98.25,1063700,98.25
"2018-03-29",98.690002,99.519997,98.510002,98.959999,896900,98.959999
"2018-04-02",98.540001,98.690002,96.510002,97.040001,804300,97.040001
"2018-04-03",97.629997,98.199997,96.790001,97.809998,848300,97.809998
"2018-04-04",97.25,101.07,97.25,100.599998,1331000,100.599998
"2018-04-05",101,101,99.040001,99.699997,1039000,99.699997
"2018-04-06",99.379997,100.629997,98.300003,98.849998,774000,98.849998
"2018-04-09",99.169998,100.379997,98.120003,99.360001,744800,99.360001
"2018-04-10",97.209999,97.959999,95.529999,95.860001,2460900,95.860001
"2018-04-11",95.790001,97.160004,95.669998,96.650002,1027800,96.650002
"2018-04-12",96.879997,97,95.099998,95.57,776800,95.57
"2018-04-13",95.660004,96.290001,95.360001,95.959999,709000,95.959999
"2018-04-16",95.779999,97.18,95.459999,96.800003,1108600,96.800003
"2018-04-17",96.980003,97.300003,96.239998,96.699997,774700,96.699997
"2018-04-18",96.559998,96.690002,95.309998,95.339996,1100800,95.339996
"2018-04-19",95.099998,95.190002,93.050003,93.559998,1851500,93.559998
"2018-04-20",93.709999,94.419998,92.059998,92.480003,1828900,92.480003
"2018-04-23",92.720001,93.43,92.309998,93.18,1284200,93.18
"2018-04-24",93.470001,93.830002,91.919998,92.769997,1607900,92.769997
"2018-04-25",92.599998,94.25,92.510002,93.540001,1384400,93.540001
"2018-04-26",93.010002,94.5,91.400002,93.290001,3524500,93.290001
"2018-04-27",92.290001,94.120003,92.029999,93.379997,1774000,93.379997
"2018-04-30",93.57,94,91.849998,91.940002,1287700,91.940002
"2018-05-01",92,92.190002,90.879997,91.32,1418600,91.32
"2018-05-02",90.690002,91.18,89.470001,89.540001,2257100,89.540001
"2018-05-03",90.010002,90.489998,89.099998,89.699997,1728400,89.699997
"2018-05-04",89.690002,92.220001,89.5,91.779999,1236200,91.779999
"2018-05-07",91.900002,91.989998,91.190002,91.660004,1270300,91.660004
"2018-05-08",91.25,92.519997,90.949997,92.150002,1395400,92.150002
"2018-05-09",92.389999,92.879997,91.980003,92.610001,903300,92.610001
"2018-05-10",92.940002,93.309998,92.599998,92.889999,730000,92.889999
"2018-05-11",93,93.669998,92.160004,92.459999,704100,92.459999
"2018-05-14",92.32,92.669998,92.25,92.540001,898100,92.540001
"2018-05-15",91.860001,94.290001,90.669998,92.650002,2542000,92.650002
"2018-05-16",92.940002,93.669998,92.75,93.639999,1709400,93.639999
"2018-05-17",93.610001,93.860001,92.260002,92.599998,1117300,92.599998
"2018-05-18",91.93,92.43,90.029999,91.489998,1681000,91.489998
"2018-05-21",91.720001,92.25,91.199997,92.059998,1021400,92.059998
"2018-05-22",92.190002,92.68,91.410004,91.650002,816700,91.650002
"2018-05-23",91.639999,92.160004,91.190002,92.099998,1036200,92.099998
"2018-05-24",91.620003,92.209999,90.830002,91.669998,809400,91.669998
"2018-05-25",91.660004,93.239998,91.589996,92.029999,1401900,92.029999
"2018-05-29",91.75,92.370003,91.230003,91.589996,1124800,91.589996
"2018-05-30",91.730003,92.129997,91.260002,91.599998,1677100,91.599998
"2018-05-31",91.629997,91.629997,89.68,90.040001,2342100,90.040001
"2018-06-01",90.120003,90.419998,89.849998,90.010002,1182100,90.010002
"2018-06-04",90.5,91.589996,90.400002,91.309998,1729500,91.309998
"2018-06-05",91.379997,91.43,90.239998,90.5,1118000,90.5
"2018-06-06",90.5,90.660004,89.629997,90.550003,894600,90.550003
"2018-06-07",89.959999,91.57,89.290001,91.080002,1265200,91.080002
"2018-06-08",91.209999,92,91.129997,91.769997,1000600,91.769997
"2018-06-11",92,92.830002,91.599998,92.410004,1254300,92.410004
"2018-06-12",92.730003,93.5,92.32,93.379997,864700,93.379997
"2018-06-13",91.690002,92.220001,89.839996,91.220001,2894400,91.220001
"2018-06-14",91.550003,92.300003,91.190002,92.139999,1260800,92.139999
"2018-06-15",91.900002,94,91.800003,94,2530400,94
"2018-06-18",93.089996,93.959999,91.290001,91.550003,1346700,91.550003
"2018-06-19",91.540001,92.419998,91.300003,91.919998,1272500,91.919998
"2018-06-20",91.940002,92.379997,91.110001,91.860001,707400,91.860001
"2018-06-21",91.919998,92.459999,91.68,91.910004,1224600,91.910004
"2018-06-22",92.190002,93.150002,91.93,92.669998,931200,92.669998
"2018-06-25",92.75,94.379997,92.75,94.199997,1488900,94.199997
"2018-06-26",94.139999,94.410004,93.400002,94.040001,1715100,94.040001
"2018-06-27",93.839996,95.010002,93.559998,93.93,1037800,93.93
"2018-06-28",93.980003,94.860001,93.489998,94.18,895000,94.18
"2018-06-29",94.449997,94.449997,93.029999,93.059998,1190600,93.059998
